close,high,low,open,tic,trade_count,volume,vwap
398.17,406.41,396.5,405.1,SPY,1422455.0,155879661.0,401.926947
399.09,406.08,394.82,404.49,SPY,1467440.0,135027626.0,399.841173
392.75,404.04,391.96,398.07,SPY,1530008.0,144045270.0,397.388783
392.34,395.8,385.15,389.37,SPY,1485294.0,126713465.0,390.017495
401.72,403.18,395.61,396.71,SPY,857305.0,104349084.0,399.861452
400.09,403.97,397.6,399.98,SPY,734542.0,80100945.0,400.633306
408.32,408.57,402.5824,406.53,SPY,743976.0,83226741.0,405.752173
391.86,403.8,390.55,403.5,SPY,967500.0,117836734.0,396.037785
389.46,394.14,387.11,388.62,SPY,937788.0,99939615.0,390.339573
389.63,397.03,380.54,393.25,SPY,1097334.0,131446436.0,387.059221
396.92,397.73,390.38,392.83,SPY,714915.0,76648121.0,395.169792
393.89,395.15,386.96,392.56,SPY,804229.0,92541551.0,391.579387
397.37,399.45,391.89,392.31,SPY,768577.0,92887420.0,395.796462
405.31,407.04,398.45,398.67,SPY,606439.0,83804711.0,404.272675
415.26,415.3801,407.7,407.91,SPY,601624.0,87207078.0,412.539489
412.93,416.46,410.03,413.55,SPY,713846.0,97389986.0,413.392021
409.59,416.24,406.93,415.17,SPY,697750.0,87995482.0,410.779761
417.34,417.44,407.04,409.42,SPY,616253.0,81695452.0,413.460756
410.54,414.04,409.51,412.4,SPY,576320.0,72004446.0,411.861503
411.79,416.609,410.5523,414.78,SPY,473555.0,58402477.0,413.046043
415.74,416.22,407.61,408.1,SPY,481783.0,59483946.0,412.970772
411.22,415.82,410.38,413.93,SPY,505050.0,65642329.0,412.716071
401.44,411.74,401.44,409.34,SPY,580043.0,88177354.0,406.736591
389.8,395.7777,389.75,394.88,SPY,910961.0,135486175.0,392.834443
375.0,381.81,373.3,379.85,SPY,1138052.0,173443346.0,378.619761
373.87,377.94,370.59,376.85,SPY,826157.0,105591082.0,374.327072
379.2,383.9,372.12,377.36,SPY,1079876.0,128798622.0,378.077174
366.65,370.94,364.0799,370.51,SPY,911471.0,138951395.0,368.41614
365.86,369.38,362.17,365.51,SPY,824882.0,111452712.0,366.254672
375.07,376.525,371.81,371.89,SPY,581114.0,79074527.0,374.382387
374.39,378.72,370.18,370.62,SPY,607597.0,91634199.0,375.128964
378.06,378.83,372.89,376.64,SPY,632100.0,80303462.0,376.24936
390.08,390.09,381.365,381.4,SPY,629863.0,98013848.0,386.705416
388.59,391.36,387.44,391.05,SPY,555371.0,67337838.0,389.085942
380.65,393.16,380.53,390.23,SPY,643734.0,88649297.0,384.82967
380.34,382.27,378.42,381.23,SPY,522702.0,65793757.0,380.392294
377.25,380.6582,372.56,376.24,SPY,805234.0,114444484.0,377.076404
381.24,381.7,373.8,376.56,SPY,604443.0,76230298.0,378.282386
381.96,381.98,372.9,375.88,SPY,649492.0,81666726.0,377.509522
383.25,385.87,379.6,382.11,SPY,619252.0,71417341.0,382.520468
388.99,389.83,383.267,385.12,SPY,470174.0,66586715.0,387.660487
388.67,390.64,385.66,387.27,SPY,512460.0,73126115.0,388.651231
384.23,386.87,383.5,385.85,SPY,475891.0,60196162.0,384.855552
380.83,386.16,378.99,383.65,SPY,514049.0,63304211.0,382.593281
378.83,381.92,374.658,375.1,SPY,677549.0,85453239.0,378.822397
377.91,379.0498,371.04,373.61,SPY,642064.0,91022894.0,375.605976
385.13,385.25,380.54,382.55,SPY,489042.0,80721517.0,383.355062
381.95,389.09,380.66,388.38,SPY,492283.0,64573224.0,385.042875
392.27,392.87,385.39,386.08,SPY,536190.0,80462808.0,389.417223
394.77,396.26,391.03,392.47,SPY,529992.0,72028992.0,394.166662
398.79,398.84,391.63,394.16,SPY,524204.0,65044042.0,396.117576
395.09,400.18,392.75,398.92,SPY,527753.0,73212677.0,395.942073
395.57,396.47,393.21,395.75,SPY,440041.0,54460198.0,395.053202
390.89,394.06,389.95,393.84,SPY,438458.0,54110744.0,391.842675
401.04,402.88,394.05,394.36,SPY,597553.0,84389399.0,398.357261
406.04,406.8,398.15,401.89,SPY,570082.0,75478050.0,403.684732
411.99,413.03,406.77,407.58,SPY,544908.0,88654585.0,410.68061
410.77,413.41,408.4,409.15,SPY,518953.0,71138117.0,411.066298
408.06,413.0,406.82,409.12,SPY,505802.0,64549577.0,409.607036
414.45,415.68,410.0,410.3,SPY,465615.0,69189866.0,413.286406
414.17,415.09,412.44,414.37,SPY,365314.0,46473255.0,414.082344
413.47,414.15,409.6,409.66,SPY,454803.0,57663233.0,412.300315
412.99,417.62,411.83,415.25,SPY,422677.0,54800278.0,414.4092
411.35,412.75,410.22,412.22,SPY,367153.0,45025319.0,411.334605
